Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate,metric1,metric2
January,Business Class,UK,UK,219.35,BRITISH AIRWAYS,Criminal & Detention Group,219.35,219.35
January,Economy,UK,UK,129.8,BRITISH AIRWAYS,Immigration Group,129.8,129.8
January,Economy,UK,UK,94.1,BMI,Strategic Director Border,94.1,94.1
February,Economy,UK,UK,98.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,98.34,98.34
January,Economy,UK,UK,135.62,BRITISH AIRWAYS,Strategic Director Border,135.62,135.62
February,Economy,UK,UK,41.5,BRITISH AIRWAYS,HROD,41.5,41.5
February,Economy,UK,Non EEA,531.7,BRITISH AIRWAYS,OSCT,531.7,531.7
March,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,OSCT,23.98,23.98
March,Economy,UK,UK,151.91,FLYBE BRITISH EUROPEAN,OSCT,151.91,151.91
January,Economy,UK,EEA,134,BRITISH AIRWAYS,Immigration Group,134,134
January,Business Class,UK,UK,204.35,BRITISH AIRWAYS,HROD,204.35,204.35
January,Economy,UK,UK,104.93,BRITISH AIRWAYS,OSCT,104.93,104.93
January,Economy,UK,UK,146.54,BRITISH AIRWAYS,Criminal & Detention Group,146.54,146.54
January,Economy,UK,UK,224.2,FLYBE BRITISH EUROPEAN,Immigration Group,224.2,224.2
January,Economy,UK,UK,195.43,BRITISH AIRWAYS,Finance & Commercial Group,195.43,195.43
February,Economy,UK,UK,61.93,BRITISH AIRWAYS,OSCT,61.93,61.93
January,Economy,UK,EEA,190.17,LOT-POLISH AIRLINES,UKBA,190.17,190.17
February,Economy,UK,UK,94.43,BRITISH AIRWAYS,HROD,94.43,94.43
January,Economy,UK,UK,204.49,BRITISH AIRWAYS,Strategic Director Border,204.49,204.49
January,Economy,EEA,UK,108.48,JET2COM,Immigration Group,108.48,108.48
January,Economy,UK,UK,111.51,FLYBE BRITISH EUROPEAN,Immigration Group,111.51,111.51
January,Economy,UK,UK,90.5,BRITISH AIRWAYS,OSCT,90.5,90.5
January,Economy,UK,UK,101.54,BRITISH AIRWAYS,Criminal & Detention Group,101.54,101.54
March,Economy,UK,UK,95.34,FLYBE BRITISH EUROPEAN,OSCT,95.34,95.34
January,Business Class,UK,Non EEA,2990.27,ETIHAD AIRWAYS,International Group,2990.27,2990.27
February,Economy,UK,UK,164.53,FLYBE BRITISH EUROPEAN,Criminal & Detention Group,164.53,164.53
